feature_id,feature_name,state_name,county_name,prim_lat_dec,prim_long_dec,enter_m,exit_m,exit_consec_points
910117,Relica Peak,New Mexico,Taos,36.6311001,-105.4107234,80,120,5
910180,Rincon de Mora,New Mexico,Rio Arriba,36.0975696,-106.3625658,80,120,5
910386,Rock Springs Peak,New Mexico,Catron,33.7268947,-107.7187302,80,120,5
910410,Rocky Point,New Mexico,Grant,33.1183377,-107.9691748,80,120,5
910417,Roman Hill,New Mexico,McKinley,35.4280801,-107.7825485,80,120,5
910429,Rose Peak,New Mexico,Lincoln,33.4293542,-105.9888726,80,120,5
910433,Rosilla Peak,New Mexico,San Miguel,35.7323017,-105.6261405,80,120,5
910441,Round Mountain,New Mexico,Hidalgo,32.4680842,-108.5764503,80,120,5
910442,Round Mountain,New Mexico,Grant,32.8339213,-108.2907645,80,120,5
910443,Round Mountain,New Mexico,Sierra,33.0775742,-107.67656,80,120,5
910444,Round Mountain,New Mexico,Sierra,33.3100646,-107.9105867,80,120,5
910445,Little Round Mountain,New Mexico,Catron,33.4394982,-108.9808903,80,120,5
910446,Round Mountain,New Mexico,Catron,33.4851258,-108.8265069,80,120,5
910447,Round Mountain,New Mexico,Mora,35.8730105,-105.6348577,80,120,5
910452,Round Top,New Mexico,Torrance,34.3141957,-105.8353345,80,120,5
910462,Rowe Peak,New Mexico,San Miguel,35.5021321,-105.7025479,80,120,5
910473,Ruiz Peak,New Mexico,Sandoval,35.7173301,-106.544811,80,120,5
910501,Sacaton Mountain,New Mexico,Catron,33.2719498,-108.6881679,80,120,5
910505,Sacramento Peak,New Mexico,Otero,32.7877205,-105.8207829,80,120,5
910512,Saddleback Mountain,New Mexico,Grant,32.8860127,-109.01941,80,120,5
910536,Saint Peters Dome,New Mexico,Sandoval,35.7573995,-106.3708094,80,120,5
910560,Salitre Mesa,New Mexico,Cibola,35.2224956,-108.1083655,80,120,5
910563,Saliz Hill,New Mexico,Catron,33.5840478,-108.9008919,80,120,5
910576,Salt Peak,New Mexico,Lincoln,33.4420718,-105.7080301,80,120,5
910639,San Jose Mountain,New Mexico,Grant,32.7749804,-108.1115931,80,120,5
910647,San Juan Peak,New Mexico,Socorro,33.6638491,-107.3315655,80,120,5
910664,San Mateo Mesa,New Mexico,McKinley,35.4273343,-107.7460733,80,120,5
910666,San Mateo Mountain,New Mexico,Socorro,33.5603393,-107.4497074,80,120,5
910667,San Mateo Peak,New Mexico,Socorro,33.6110823,-107.4322736,80,120,5
910678,San Miguel Creek Dome,New Mexico,McKinley,35.570472,-107.4670265,80,120,5
910690,San Miguel Mountain,New Mexico,Sandoval,35.8655716,-106.8661396,80,120,5
910708,San Rafael Mesa,New Mexico,Cibola,35.0499966,-107.9861437,80,120,5
910732,Sand Hill,New Mexico,Union,36.3038264,-103.275661,80,120,5
910748,North Sandia Peak,New Mexico,Sandoval,35.2350367,-106.4564671,80,120,5
910788,Santa Rosa Peaks,New Mexico,Sandoval,35.3564392,-107.2779322,80,120,5
910811,Santos Mesa,New Mexico,Rio Arriba,36.5966583,-107.4328898,80,120,5
910813,Santos Peak,New Mexico,Rio Arriba,36.5968155,-107.393659,80,120,5
910847,Sawmill Mountain,New Mexico,Taos,36.728912,-105.4248062,80,120,5
910849,Sawmill Peak,New Mexico,Sierra,33.4523297,-107.8078745,80,120,5
910864,Sawyers Peak,New Mexico,Grant,32.8755422,-107.7791248,80,120,5
910876,Schoolhouse Mesa,New Mexico,Sandoval,35.8544263,-106.7213297,80,120,5
910877,Schoolhouse Mountain,New Mexico,Sierra,32.752259,-107.6514945,80,120,5
910885,Scott Mesa,New Mexico,Socorro,34.2937917,-107.3220796,80,120,5
910886,Scott Peak,New Mexico,Grant,32.9452467,-108.2117661,80,120,5
910891,Scully Mountain,New Mexico,Colfax,36.6009791,-105.2962576,80,120,5
910932,Seferino Hill,New Mexico,Sierra,33.3943205,-107.4013072,80,120,5
910950,Serro Avajo,New Mexico,Rio Arriba,36.2079162,-105.9010155,80,120,5
910954,Seven Brothers Mountain,New Mexico,Sierra,32.8618307,-107.7505301,80,120,5
910964,Seventyfour Mountain,New Mexico,Grant,33.1771848,-108.6309875,80,120,5
910970,Shaggy Peak,New Mexico,Santa Fe,35.6135518,-105.825333,80,120,5
910992,Sheep Mountain,New Mexico,Sierra,33.2037931,-107.8755749,80,120,5
911000,Shelley Peak,New Mexico,Grant,33.1850071,-108.5620115,80,120,5
911009,Sheridan Mountain,New Mexico,Catron,33.2567258,-108.7772719,80,120,5
911010,Sherman Mountain,New Mexico,Sierra,32.9006547,-107.6429703,80,120,5
911033,Sierra de Don Fernando,New Mexico,Taos,36.3415521,-105.425129,80,120,5
911037,Sierra Fijardo,New Mexico,Sierra,33.4141682,-107.268636,80,120,5
911040,Sierra Negra,New Mexico,Rio Arriba,36.2632767,-106.2490123,80,120,5
911044,Sierras Mediano,New Mexico,Sierra,33.3751842,-107.3397711,80,120,5
911048,Sign Camp Mountain,New Mexico,Catron,33.5533692,-108.6991775,80,120,5
911049,Signal Knob,New Mexico,Grant,32.8407835,-108.1701651,80,120,5
911050,Signal Peak,New Mexico,Sierra,32.7690476,-107.6637803,80,120,5
911051,Signal Peak,New Mexico,Grant,32.9244396,-108.1798848,80,120,5
911072,Silver Hill,New Mexico,Socorro,34.126476,-107.3016078,80,120,5
911074,Silver Peak,New Mexico,Catron,33.4349658,-108.8196046,80,120,5
911083,Sim Yaten Hills,New Mexico,Socorro,33.6882753,-107.5153704,80,120,5
911087,Simpson Peak,New Mexico,Taos,36.5490676,-105.4143776,80,120,5
911130,Slaughter Mesa,New Mexico,Catron,34.0621615,-108.4371582,80,120,5
911140,Slick Rock Mesa,New Mexico,Grant,33.0053418,-108.413096,80,120,5
911154,Smith Mountain,New Mexico,Grant,32.7538252,-108.7188066,80,120,5
911160,Smokey Bear Hill,New Mexico,Sandoval,35.8814046,-106.8183613,80,120,5
911163,Smoothing Iron Mesa,New Mexico,Catron,33.3058953,-109.0306225,80,120,5
911165,Snake Hill,New Mexico,Grant,32.7946408,-108.1596924,80,120,5
911180,Snow Peak,New Mexico,Grant,33.2036704,-108.939948,80,120,5
911192,Sol se Mete Peak,New Mexico,Bernalillo,34.9720557,-106.4148653,80,120,5
911195,Soldier Hill,New Mexico,Grant,33.1920044,-108.8297726,80,120,5
911196,Soldier Mountain,New Mexico,Lincoln,33.460404,-105.7505117,80,120,5
911204,Sombodoro Mesa,New Mexico,San Miguel,35.3513966,-105.3012584,80,120,5
911216,South Baldy,New Mexico,Socorro,33.9909814,-107.1879756,80,120,5
911218,South Burned Timber Mountain,New Mexico,McKinley,35.1945023,-108.5637868,80,120,5
911224,South Crosby Peak,New Mexico,Catron,34.1030789,-107.9370994,80,120,5
911241,South Fork Peak,New Mexico,Taos,36.5487736,-105.4785039,80,120,5
911262,South Mesa,New Mexico,Sierra,33.2869277,-107.9264184,80,120,5
911263,South Mountain,New Mexico,Catron,33.8058815,-108.8131114,80,120,5
911272,South Sandia Peak,New Mexico,Bernalillo,35.1202126,-106.4305274,80,120,5
911297,Spear Hills,New Mexico,Harding,36.1368837,-104.1754164,80,120,5
911305,Spook Hill,New Mexico,Socorro,33.735157,-107.2759661,80,120,5
911335,Spring Mountain,New Mexico,Sierra,33.2486769,-107.9300305,80,120,5
911336,Spring Mountain,New Mexico,Catron,33.3800481,-108.7357131,80,120,5
911337,Spring Mountain,New Mexico,San Miguel,35.8337765,-105.5326786,80,120,5
911366,Spurgeon Mesa,New Mexico,Catron,33.4859217,-108.924367,80,120,5
911373,Bear Peak,New Mexico,Socorro,33.9249229,-107.2749205,80,120,5
911389,Star Peak,New Mexico,Sierra,32.9276299,-107.6579089,80,120,5
911394,Starvation Peak,New Mexico,San Miguel,35.3767567,-105.3275421,80,120,5
911395,State Line Peak,Colorado,Costilla,36.9962929,-105.2965133,80,120,5
911400,Steel Hill,New Mexico,Socorro,33.5945767,-107.2997711,80,120,5
911417,Stewart Peak,New Mexico,Grant,32.8577555,-108.3211286,80,120,5
911438,Stoner Mountain,New Mexico,Sierra,32.8505535,-107.7275032,80,120,5
911440,Stony Point,New Mexico,Colfax,36.6280832,-105.0236036,80,120,5
911443,Stout Mesa,New Mexico,Catron,33.4211928,-108.8485182,80,120,5
911445,Stovepipe Mesa,New Mexico,Catron,33.3849618,-108.3731508,80,120,5
911450,Strawberry Peak,New Mexico,Socorro,34.1054206,-107.0053438,80,120,5
911460,Sugarloaf Mountain,New Mexico,Grant,32.6495169,-108.428778,80,120,5
911461,Sugarloaf Mountain,New Mexico,Catron,34.1180234,-107.981201,80,120,5
911462,Sugarloaf Mountain,New Mexico,Harding,36.2033757,-104.0305414,80,120,5
911463,Sugarloaf Peak,New Mexico,Sierra,33.2221887,-107.743467,80,120,5
911483,Sun Mountain,New Mexico,Santa Fe,35.6592449,-105.912234,80,120,5
911488,Sundial Mountain,New Mexico,Catron,33.2264481,-108.8786629,80,120,5
911492,Sunflower Mesa,New Mexico,Grant,33.0561723,-108.9944975,80,120,5
911493,Sunflower Mesa,New Mexico,Catron,33.3836034,-108.9852482,80,120,5
911497,Sunset Peak,New Mexico,Lincoln,33.5865758,-105.2368807,80,120,5
911503,Swan Hill,New Mexico,Lincoln,33.5510847,-105.6527518,80,120,5
911524,Table Mountain,New Mexico,Socorro,34.4143961,-107.5895218,80,120,5
911525,Table Top,New Mexico,Catron,33.2313852,-108.9636865,80,120,5
911535,Tampico Peak,New Mexico,Grant,32.7966559,-108.6704294,80,120,5
911546,Taos Cone,New Mexico,Colfax,36.5530671,-105.3772062,80,120,5
911549,Taos Peak,New Mexico,Taos,36.5722468,-105.3502746,80,120,5
911561,Taylor Peak,New Mexico,Sierra,33.4100895,-107.9256738,80,120,5
911579,Tecolote Peak,New Mexico,San Miguel,35.5197114,-105.3000523,80,120,5
911585,Teepee Peak,New Mexico,Socorro,33.670865,-107.4329554,80,120,5
911589,Telegraph Mountain,New Mexico,Grant,32.7718622,-108.6269868,80,120,5
911603,Tenmile Hill,New Mexico,Socorro,33.7749045,-107.2771394,80,120,5
911616,Tetilla Peak,New Mexico,Taos,36.7236527,-105.312903,80,120,5
911617,Tetillas Peak,New Mexico,Taos,36.3084758,-105.5329722,80,120,5
911619,Texas Hill,New Mexico,Eddy,32.4132224,-104.8219446,80,120,5
911624,Thayer Hill,New Mexico,Eddy,32.194677,-104.6358194,80,120,5
911631,The Dome,New Mexico,Mora,35.9684589,-105.7065461,80,120,5
911636,The Knob,New Mexico,Taos,36.0975396,-105.5190003,80,120,5
911648,The Rincon,New Mexico,Cibola,35.2868484,-108.3605739,80,120,5
911655,Third Canyon Mesa,New Mexico,Catron,34.4236074,-107.9199205,80,120,5
911662,Thompson Cone,New Mexico,Grant,32.8271125,-107.7500237,80,120,5
911665,Thompson Peak,New Mexico,Santa Fe,35.6722835,-105.8064406,80,120,5
